Subject,Predicate,Object
http://semanticscience.org/resource/Duplicate,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/CollectionItem
http://www.ontology-of-units-of-measure.org/resource/om-2/amperePerSquareMetre,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://semanticscience.org/resource/UnitOfMeasurement
http://semanticscience.org/resource/isTimeBoundaryOf,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
n1951b7155c684ff6befdb168f4684486b913,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
n1951b7155c684ff6befdb168f4684486b776,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/Pre-mRNA,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/SoftwareEntity,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://purl.org/ontology/bibo/Proceedings,http://www.w3.org/2000/01/rdf-schema#comment,"A compilation of documents published from an event, such as a conference."
http://semanticscience.org/resource/ToDistort,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/EffectiveDose,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Dose
http://semanticscience.org/resource/PlutoniumAtom,http://data.bioontology.org/metadata/prefixIRI,sio:PlutoniumAtom
http://semanticscience.org/resource/Journal,http://data.bioontology.org/metadata/prefixIRI,sio:Journal
http://semanticscience.org/resource/Reason,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://semanticscience.org/resource/Interest,http://www.w3.org/2000/01/rdf-schema#label,interest
n1951b7155c684ff6befdb168f4684486b924,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/isQualityOf
http://semanticscience.org/resource/SignalTransducer,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/Molecule
http://semanticscience.org/resource/RnaGene,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/ToRecord,http://data.bioontology.org/metadata/prefixIRI,sio:ToRecord
http://semanticscience.org/resource/InformationProcessing,http://data.bioontology.org/metadata/prefixIRI,sio:InformationProcessing
http://semanticscience.org/resource/Minute,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://semanticscience.org/resource/TimeInterval
http://materialsmine.org/ns/FlexuralToughness,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
http://semanticscience.org/resource/WeakChemicalSalt,http://data.bioontology.org/metadata/prefixIRI,sio:WeakChemicalSalt
http://materialsmine.org/ns/Particle,http://www.w3.org/ns/prov#wasQuotedFrom,https://en.wikipedia.org/wiki/Nanoparticle
http://purl.org/ontology/bibo/Proceedings,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://purl.org/ontology/bibo/
http://semanticscience.org/resource/RibonucleicAcid,http://www.w3.org/2000/01/rdf-schema#subClassOf,n1951b7155c684ff6befdb168f4684486b992
http://semanticscience.org/resource/Predicting,http://data.bioontology.org/metadata/prefixIRI,sio:Predicting
n1951b7155c684ff6befdb168f4684486b620,http://www.w3.org/2002/07/owl#onClass,http://semanticscience.org/resource/ToInteractWith
n1951b7155c684ff6befdb168f4684486b670,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/refersTo
http://purl.org/ontology/bibo/status,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#ObjectProperty
http://semanticscience.org/resource/MassSpectrometer,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
http://materialsmine.org/ns/AtomicForceMicroscopy,http://materialsmine.org/ns/hasSelector,//Atomic_Force_Microscopy
http://purl.org/ontology/bibo/prefixName,http://www.w3.org/2000/01/rdf-schema#range,http://www.w3.org/2000/01/rdf-schema#Literal
n1951b7155c684ff6befdb168f4684486b438,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,n1951b7155c684ff6befdb168f4684486b439
http://semanticscience.org/resource/Gesturing,http://www.w3.org/2000/01/rdf-schema#label,gesturing
