Class,SubClassOf,IntersectionOf,Comment,OnProperty,SomeValuesFrom,Definition
nc1dd680924f540ad8a0d60c28f9143d8b2,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b5,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b8,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b11,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b14,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b17,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b20,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b23,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b26,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b29,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b33,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b39,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b42,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b45,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b48,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b51,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b54,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b57,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b60,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b63,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b66,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b69,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b72,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b75,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b78,None,None,None,None,None,None
nc1dd680924f540ad8a0d60c28f9143d8b81,None,None,None,None,None,None
http://materialsmine.org/ns/AC_DielectricConstant,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/AC_DielectricDispersion,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/Abbreviation,http://semanticscience.org/resource/Name,None,None,None,None,None
http://materialsmine.org/ns/AbsoluteUnitOfMeasurement,http://www.w3.org/2002/07/owl#Thing,None,None,None,None,None
http://materialsmine.org/ns/AcceleratingVoltage,http://semanticscience.org/resource/Parameter,None,None,None,None,None
http://materialsmine.org/ns/Additive,http://semanticscience.org/resource/ChemicalEntity,None,None,None,None,None
http://materialsmine.org/ns/Additive,http://semanticscience.org/resource/ChemicalSubstance,None,None,None,None,None
http://materialsmine.org/ns/Additive,nc1dd680924f540ad8a0d60c28f9143d8b84,None,None,None,None,None
http://materialsmine.org/ns/Air,http://materialsmine.org/ns/AmbientCondition,None,None,None,None,None
http://materialsmine.org/ns/AmbientCondition,http://materialsmine.org/ns/ProcessingCondition,None,None,None,None,None
http://materialsmine.org/ns/Amperage,http://semanticscience.org/resource/Quantity,None,None,None,None,None
http://materialsmine.org/ns/ArcResistance,http://materialsmine.org/ns/ElectricalProperty,None,None,None,None,None
http://materialsmine.org/ns/ArcResistance,nc1dd680924f540ad8a0d60c28f9143d8b85,None,None,None,None,None
http://materialsmine.org/ns/AspectRatio,http://semanticscience.org/resource/Ratio,None,None,None,None,None
http://materialsmine.org/ns/Atactic,http://materialsmine.org/ns/Tacticity,None,None,None,None,None
http://materialsmine.org/ns/AtomicForceMicroscopy,http://semanticscience.org/resource/Measuring,None,None,None,None,None
http://materialsmine.org/ns/AtomicForceMicroscopy,nc1dd680924f540ad8a0d60c28f9143d8b86,None,None,None,None,None
http://materialsmine.org/ns/AtomicForceMicroscopy,nc1dd680924f540ad8a0d60c28f9143d8b87,None,None,None,None,None
