File,Subject Class URI,Subject Class Name,Predicate,Object Class URI,Object Class Name
../Ontologies/materialsmine_converted.ttl,http://materialsmine.org/ns/Stress,Stress,subClassOf,http://materialsmine.org/ns/MechanicalProperty,Mechanical Property,A materials property related to the response of a material under some external applied load.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Drug,drug,subClassOf,http://semanticscience.org/resource/ChemicalSubstance,chemical substance,A chemical substance is a chemical entity composed of two or more weakly (non-covalently) interacting chemical entities.
../Ontologies/pmdco_core.ttl,https://w3id.org/pmd/co/TensileTest,Tensile Test,subClassOf,https://w3id.org/pmd/co/MechanicalTestingProcess,Mechanical Testing Process,Determinization of a mechanical property.
../Ontologies/pmdco_core.ttl,https://w3id.org/pmd/co/TensileTest,Tensile Test,equivalentClass,Complex class expression,Restriction on has participant some Tensile Testing Machine,Complex class expression
../Ontologies/pmdco_core.ttl,https://w3id.org/pmd/co/TensileTest,Tensile Test,equivalentClass,Complex class expression,Restriction on has participant some Prüfkörper,Complex class expression
../Ontologies/pmdco_core.ttl,https://w3id.org/pmd/co/Stress,Stress,subClassOf,https://w3id.org/pmd/co/ValueObject,Value Object,"A :ValueObject is a simple entity which represents a specific value. This value can be a numerical, textual, or a more complex data structure. If a literal value is to be specified, the :value datatype property has to be used. In cases where the value is represented by a resource (e.g. URI), the :resource object property has to be used.

A value object, respectively its value, is always associated with an entity of type :Process, :ProcessingNode, or :Object (e.g. :Specimen). The value is meant to be a charactaristic of the associated entity. To express this association it is indended to use the :participant object property.

A value object might also refer to a certain unit. The :unit property might be used (e.g. with QUDT ontology).

Instances of a value object might be specified as a specific Parameter, namely a SetPoint (nominal value), or Measurement. With :Setpoint the intend is to express, that the value is meant to be some preset, setting or nominal value. :Measurement expresses, that the value has been measured or determined somehow (see example).

Instances of a value object might also be specified in a specific DataScope (:Metadata, :PrimaryData, :SecondaryData)."
../Ontologies/pmdco_core.ttl,https://w3id.org/pmd/co/Stress,Stress,equivalentClass,Complex class expression,Intersection of Restriction on relates to some Area and Restriction on relates to some Force,Complex class expression
../Ontologies/emmo.ttl,https://w3id.org/emmo#EMMO_d1917609_db5e_4b8a_9b76_ef1d6f860a81,Stress,subClassOf,https://w3id.org/emmo#EMMO_2946d40b_24a1_47fa_8176_e3f79bb45064,ISQDerivedQuantity,
../Ontologies/emmo.ttl,https://w3id.org/emmo#AmperePerJoule,Ampere per Joule,subClassOf,https://w3id.org/emmo#EMMO_1273eb34_de48_43a9_925f_104110469dd2,SICoherentDerivedUnit,This class collects all units that are products or powers of SI base or SI special units only.
../Ontologies/emmo.ttl,https://w3id.org/emmo#AmperePerJoule,Ampere per Joule,subClassOf,https://w3id.org/emmo#EMMO_1aaaceb6_c5eb_4cf3_a494_f82d43fda10a,ElectricCurrentPerUnitEnergyUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_472a0ca2_58bf_4618_b561_6fe68bd9fd49,Elaboration,subClassOf,https://w3id.org/emmo#EMMO_bafc17b5_9be4_4823_8bbe_ab4e90b6738c,Project,
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/DataAnalysis,data analysis,subClassOf,http://semanticscience.org/resource/InformationProcessing,information processing,information processing is a process that involves the generation or use of information.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/TechnicalReport,technical report,subClassOf,http://semanticscience.org/resource/Publication,Publication,A publication is a document that has been made available by a publisher.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_9b075686_4ac2_43bb_b2a3_17b3ea24ff17,PerAreaTimeUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_9b075686_4ac2_43bb_b2a3_17b3ea24ff17,PerAreaTimeUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Hate,hate,subClassOf,http://semanticscience.org/resource/Disgust,disgust,Disgust is a feeling of revulsion or profound disapproval aroused by something unpleasant or offensive.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/Creating,creating,subClassOf,http://semanticscience.org/resource/Interacting,interacting,interacting is a process characterized by the interaction between two or more entities.
../Ontologies/materialsmine_converted.ttl,http://semanticscience.org/resource/ToIncreaseTheRateOfFormation,to increase the rate of formation,subClassOf,http://semanticscience.org/resource/ToRegulateTheRateOfFormation,to regulate the rate of formation,to regulate the rate of formation is to modify the rate at which an object is formed.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/pmd/co/CommissionTime,Commission Time,subClassOf,https://w3id.org/pmd/co/Time,Time,A nonspatial continuum that is measured in terms of events which succeed one another from past through present to future.
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_095b3c46_2b60_43cb_bade_9ee9ac969720,Filling,subClassOf,https://w3id.org/emmo#EMMO_6ab555fd_5803_4f03_82e8_127c01aabfea,Fügen,"The permanent joining or other bringing together of two or more workpieces of a geometric shape or of similar workpieces with shapeless material. In each case, the cohesion is created locally and increased as a whole."
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_b5957cef_a287_442d_a3ce_fd39f20ba1cd,Geometrical,subClassOf,https://w3id.org/emmo#EMMO_c5ae6d8e_6b39_431f_8de4_ae4e357abc04,Visual,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_9cffc70d_4b60_4187_a7cd_706f5740ae87,MassPerQuarticLengthTimeUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_9cffc70d_4b60_4187_a7cd_706f5740ae87,MassPerQuarticLengthTimeUnit,equivalentClass,Complex class expression,,Complex class expression
../Ontologies/materialsmine_converted.ttl,https://w3id.org/emmo#EMMO_ca54593a_6828_491b_8fda_22b0ad85e446,ElectricMobilityUnit,subClassOf,https://w3id.org/emmo#EMMO_9895a1b4_f0a5_4167_ac5e_97db40b8bfcc,SIDimensionalUnit,
