File Name,Subject,Subject URI,Predicate,Predicate URI,Object,Object URI
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,label,http://www.w3.org/2000/01/rdf-schema#label,Clamping Pressure,Clamping Pressure
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,co,https://w3id.org/pmd/co
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,label,http://www.w3.org/2000/01/rdf-schema#label,Klemmdruck,Klemmdruck
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,definition,http://www.w3.org/2004/02/skos/core#definition,"Diese Eigenschaft beschreibt als quantitativer Wert die Kraft pro Fläche (Druck), die beim Einbau einer Probe, eines Prüfkörpers oder eines Prüfstücks aufgebracht wird. Typischerweise ist das Aufbringen eines Klemmdrucks mit einer Art von Klemm- oder Spannzubehör (Grips) oder Ähnlichem verbunden.","Diese Eigenschaft beschreibt als quantitativer Wert die Kraft pro Fläche (Druck), die beim Einbau einer Probe, eines Prüfkörpers oder eines Prüfstücks aufgebracht wird. Typischerweise ist das Aufbringen eines Klemmdrucks mit einer Art von Klemm- oder Spannzubehör (Grips) oder Ähnlichem verbunden."
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,definition,http://www.w3.org/2004/02/skos/core#definition,"This property describes the force per area (pressure) that is used during the mounting process of a sample, specimen, or test piece as a quantitative value. Typically, this process involves some sort of grips or the like.","This property describes the force per area (pressure) that is used during the mounting process of a sample, specimen, or test piece as a quantitative value. Typically, this process involves some sort of grips or the like."
pmdco_core.ttl,Clamping Pressure,https://w3id.org/pmd/co/ClampingPressure,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Spannung,https://w3id.org/pmd/co/Stress
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,prefixIRI,http://data.bioontology.org/metadata/prefixIRI,sio:Drug,sio:Drug
materialsmine_converted.ttl,Stress,http://materialsmine.org/ns/Stress,label,http://www.w3.org/2000/01/rdf-schema#label,Stress,Stress
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Blank Node,Blank Node
materialsmine_converted.ttl,Stress,http://materialsmine.org/ns/Stress,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,chemical substance,http://semanticscience.org/resource/ChemicalSubstance
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,label,http://www.w3.org/2000/01/rdf-schema#label,drug,drug
materialsmine_converted.ttl,Stress,http://materialsmine.org/ns/Stress,subClassOf,http://www.w3.org/2000/01/rdf-schema#subClassOf,Mechanical Property,http://materialsmine.org/ns/MechanicalProperty
materialsmine_converted.ttl,Stress,http://materialsmine.org/ns/Stress,definition,http://www.w3.org/2004/02/skos/core#definition,"When a material is loaded with a force, it produces a stress, which then causes a material to deform. ","When a material is loaded with a force, it produces a stress, which then causes a material to deform. "
materialsmine_converted.ttl,Stress,http://materialsmine.org/ns/Stress,prefixIRI,http://data.bioontology.org/metadata/prefixIRI,materialsmine:Stress,materialsmine:Stress
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,Class,http://www.w3.org/2002/07/owl#Class
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,description,http://purl.org/dc/terms/description,A drug is a chemical substance that contains one or more active ingredients that regulate one or more biological processes.,A drug is a chemical substance that contains one or more active ingredients that regulate one or more biological processes.
materialsmine_converted.ttl,drug,http://semanticscience.org/resource/Drug,isDefinedBy,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,sio-subset-labels.owl,http://semanticscience.org/ontology/sio/v1.53/sio-subset-labels.owl
materialsmine_converted.ttl,Blank Node,Blank Node,type,Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
materialsmine_converted.ttl,Blank Node,Blank Node,onProperty,has capability,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/hasCapability
materialsmine_converted.ttl,Blank Node,Blank Node,someValuesFrom,Blank Node,http://www.w3.org/2002/07/owl#someValuesFrom
materialsmine_converted.ttl,Blank Node,Blank Node,type,Class,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Class
materialsmine_converted.ttl,Blank Node,Blank Node,intersectionOf,Blank Node,http://www.w3.org/2002/07/owl#intersectionOf
materialsmine_converted.ttl,Blank Node,Blank Node,first,to regulate,http://www.w3.org/1999/02/22-rdf-syntax-ns#first,http://semanticscience.org/resource/ToRegulate
materialsmine_converted.ttl,Blank Node,Blank Node,rest,Blank Node,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest
materialsmine_converted.ttl,Blank Node,Blank Node,first,Blank Node,http://www.w3.org/1999/02/22-rdf-syntax-ns#first
materialsmine_converted.ttl,Blank Node,Blank Node,type,Restriction,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2002/07/owl#Restriction
materialsmine_converted.ttl,Blank Node,Blank Node,onProperty,in relation to,http://www.w3.org/2002/07/owl#onProperty,http://semanticscience.org/resource/inRelationTo
materialsmine_converted.ttl,Blank Node,Blank Node,someValuesFrom,biological entity,http://www.w3.org/2002/07/owl#someValuesFrom,http://semanticscience.org/resource/BiologicalEntity
materialsmine_converted.ttl,Blank Node,Blank Node,rest,nil,http://www.w3.org/1999/02/22-rdf-syntax-ns#rest,http://www.w3.org/1999/02/22-rdf-syntax-ns#nil
